gridID,poly
2025,"POLYGON ((100 50, 105 50, 105 45, 100 45, 100 50))"
2026,"POLYGON ((100 45, 105 45, 105 40, 100 40, 100 45))"
2027,"POLYGON ((100 40, 105 40, 105 35, 100 35, 100 40))"
2028,"POLYGON ((100 35, 105 35, 105 30, 100 30, 100 35))"
2029,"POLYGON ((100 30, 105 30, 105 25, 100 25, 100 30))"
2030,"POLYGON ((100 25, 105 25, 105 20, 100 20, 100 25))"
2031,"POLYGON ((100 20, 105 20, 105 15, 100 15, 100 20))"
2032,"POLYGON ((100 15, 105 15, 105 10, 100 10, 100 15))"
2033,"POLYGON ((100 10, 105 10, 105 5, 100 5, 100 10))"
2034,"POLYGON ((100 5, 105 5, 105 0, 100 0, 100 5))"
2035,"POLYGON ((100 0, 105 0, 105 -5, 100 -5, 100 0))"
2036,"POLYGON ((100 -5, 105 -5, 105 -10, 100 -10, 100 -5))"
2037,"POLYGON ((100 -10, 105 -10, 105 -15, 100 -15, 100 -10))"
2038,"POLYGON ((100 -15, 105 -15, 105 -20, 100 -20, 100 -15))"
2039,"POLYGON ((100 -20, 105 -20, 105 -25, 100 -25, 100 -20))"
2040,"POLYGON ((100 -25, 105 -25, 105 -30, 100 -30, 100 -25))"
2041,"POLYGON ((100 -30, 105 -30, 105 -35, 100 -35, 100 -30))"
2042,"POLYGON ((100 -35, 105 -35, 105 -40, 100 -40, 100 -35))"
2043,"POLYGON ((100 -40, 105 -40, 105 -45, 100 -45, 100 -40))"
2044,"POLYGON ((100 -45, 105 -45, 105 -50, 100 -50, 100 -45))"
2045,"POLYGON ((100 -50, 105 -50, 105 -55, 100 -55, 100 -50))"
2046,"POLYGON ((100 -55, 105 -55, 105 -60, 100 -60, 100 -55))"
2047,"POLYGON ((100 -60, 105 -60, 105 -65, 100 -65, 100 -60))"
2048,"POLYGON ((100 -65, 105 -65, 105 -70, 100 -70, 100 -65))"
2049,"POLYGON ((100 -70, 105 -70, 105 -75, 100 -75, 100 -70))"
2050,"POLYGON ((100 -75, 105 -75, 105 -80, 100 -80, 100 -75))"
2051,"POLYGON ((100 -80, 105 -80, 105 -85, 100 -85, 100 -80))"
2052,"POLYGON ((100 -85, 105 -85, 105 -90, 100 -90, 100 -85))"
2053,"POLYGON ((105 90, 110 90, 110 85, 105 85, 105 90))"
2054,"POLYGON ((105 85, 110 85, 110 80, 105 80, 105 85))"
2055,"POLYGON ((105 80, 110 80, 110 75, 105 75, 105 80))"
2056,"POLYGON ((105 75, 110 75, 110 70, 105 70, 105 75))"
2057,"POLYGON ((105 70, 110 70, 110 65, 105 65, 105 70))"
2058,"POLYGON ((105 65, 110 65, 110 60, 105 60, 105 65))"
2059,"POLYGON ((105 60, 110 60, 110 55, 105 55, 105 60))"
2060,"POLYGON ((105 55, 110 55, 110 50, 105 50, 105 55))"
2061,"POLYGON ((105 50, 110 50, 110 45, 105 45, 105 50))"
2062,"POLYGON ((105 45, 110 45, 110 40, 105 40, 105 45))"
2063,"POLYGON ((105 40, 110 40, 110 35, 105 35, 105 40))"
2064,"POLYGON ((105 35, 110 35, 110 30, 105 30, 105 35))"
2065,"POLYGON ((105 30, 110 30, 110 25, 105 25, 105 30))"
2066,"POLYGON ((105 25, 110 25, 110 20, 105 20, 105 25))"
2067,"POLYGON ((105 20, 110 20, 110 15, 105 15, 105 20))"
2068,"POLYGON ((105 15, 110 15, 110 10, 105 10, 105 15))"
2069,"POLYGON ((105 10, 110 10, 110 5, 105 5, 105 10))"
2070,"POLYGON ((105 5, 110 5, 110 0, 105 0, 105 5))"
2071,"POLYGON ((105 0, 110 0, 110 -5, 105 -5, 105 0))"
2072,"POLYGON ((105 -5, 110 -5, 110 -10, 105 -10, 105 -5))"
2073,"POLYGON ((105 -10, 110 -10, 110 -15, 105 -15, 105 -10))"
2074,"POLYGON ((105 -15, 110 -15, 110 -20, 105 -20, 105 -15))"
2075,"POLYGON ((105 -20, 110 -20, 110 -25, 105 -25, 105 -20))"
